# Image with: 7.1e21 meters, image height: 7.2e20 meters.
4207
1.0000e31  -2.8918e21  -6.2947e3  6.2407e-11  -5.0960e5  # galaxy 1, star 167
1.0000e31  -2.8949e21  3.4634e18  -3.1357e4  -4.9341e5  # galaxy 1, star 168
1.0000e31  -2.8979e21  7.3441e18  -6.0723e4  -4.7581e5  # galaxy 1, star 169
1.0000e31  -2.9009e21  1.1664e19  -8.8072e4  -4.5696e5  # galaxy 1, star 170
1.0000e31  -2.9038e21  1.6445e19  -1.1339e5  -4.3703e5  # galaxy 1, star 171
1.0000e31  -2.9065e21  2.1706e19  -1.3668e5  -4.1617e5  # galaxy 1, star 172
1.0000e31  -2.9090e21  2.7467e19  -1.5795e5  -3.9454e5  # galaxy 1, star 173
1.0000e31  -2.9113e21  3.3745e19  -1.7721e5  -3.7229e5  # galaxy 1, star 174
1.0000e31  -2.9133e21  4.0555e19  -1.9449e5  -3.4957e5  # galaxy 1, star 175
1.0000e31  -2.9149e21  4.7910e19  -2.0983e5  -3.2650e5  # galaxy 1, star 176
1.0000e31  -2.9162e21  5.5820e19  -2.2325e5  -3.0321e5  # galaxy 1, star 177
1.0000e31  -2.9170e21  6.4291e19  -2.3482e5  -2.7985e5  # galaxy 1, star 178
1.0000e31  -2.9173e21  7.3327e19  -2.4458e5  -2.5651e5  # galaxy 1, star 179
1.0000e31  -2.9170e21  8.2927e19  -2.5260e5  -2.3331e5  # galaxy 1, star 180
1.0000e31  -2.9160e21  9.3084e19  -2.5893e5  -2.1036e5  # galaxy 1, star 181
1.0000e31  -2.9143e21  1.0379e20  -2.6365e5  -1.8775e5  # galaxy 1, star 182
1.0000e31  -2.9118e21  1.1502e20  -2.6683e5  -1.6556e5  # galaxy 1, star 183
1.0000e31  -2.9083e21  1.2676e20  -2.6854e5  -1.4388e5  # galaxy 1, star 184
1.0000e31  -2.9039e21  1.3897e20  -2.6887e5  -1.2279e5  # galaxy 1, star 185
1.0000e31  -2.8983e21  1.5162e20  -2.6789e5  -1.0234e5  # galaxy 1, star 186
1.0000e31  -2.8916e21  1.6466e20  -2.6567e5  -8.2610e4  # galaxy 1, star 187
1.0000e31  -2.8836e21  1.7803e20  -2.6232e5  -6.3638e4  # galaxy 1, star 188
1.0000e31  -2.8742e21  1.9167e20  -2.5790e5  -4.5476e4  # galaxy 1, star 189
1.0000e31  -2.8633e21  2.0549e20  -2.5251e5  -2.8161e4  # galaxy 1, star 190
1.0000e31  -2.8509e21  2.1942e20  -2.4623e5  -1.1729e4  # galaxy 1, star 191
1.0000e31  -2.8367e21  2.3334e20  -2.3913e5  3.7945e3  # galaxy 1, star 192
1.0000e31  -2.8208e21  2.4715e20  -2.3130e5  1.8388e4  # galaxy 1, star 193
1.0000e31  -2.8029e21  2.6072e20  -2.2282e5  3.2037e4  # galaxy 1, star 194
1.0000e31  -2.7831e21  2.7390e20  -2.1377e5  4.4730e4  # galaxy 1, star 195
1.0000e31  -2.7612e21  2.8654e20  -2.0423e5  5.6464e4  # galaxy 1, star 196
1.0000e31  -2.7371e21  2.9847e20  -1.9427e5  6.7238e4  # galaxy 1, star 197
1.0000e31  -2.7108e21  3.0949e20  -1.8396e5  7.7056e4  # galaxy 1, star 198
1.0000e31  -2.6821e21  3.1940e20  -1.7338e5  8.5929e4  # galaxy 1, star 199
1.0000e31  -2.6510e21  3.2798e20  -1.6258e5  9.3868e4  # galaxy 1, star 200
1.0000e31  -2.8409e21  8.1995e17  -3.2517e6  -1.8774e6  # galaxy 1, star 201
1.0000e31  -2.8408e21  9.0125e17  -3.2639e6  -1.6177e6  # galaxy 1, star 202
1.0000e31  -2.8408e21  9.8565e17  -3.2598e6  -1.3654e6  # galaxy 1, star 203
1.0000e31  -2.8408e21  1.0729e18  -3.2403e6  -1.1215e6  # galaxy 1, star 204
1.0000e31  -2.8407e21  1.1625e18  -3.2064e6  -8.8648e5  # galaxy 1, star 205
1.0000e31  -2.8407e21  1.2542e18  -3.1591e6  -6.6102e5  # galaxy 1, star 206
1.0000e31  -2.8406e21  1.3475e18  -3.0995e6  -4.4563e5  # galaxy 1, star 207
1.0000e31  -2.8405e21  1.4417e18  -3.0284e6  -2.4076e5  # galaxy 1, star 208
1.0000e31  -2.8404e21  1.5363e18  -2.9471e6  -4.6764e4  # galaxy 1, star 209
1.0000e31  -2.8403e21  1.6305e18  -2.8563e6  1.3606e5  # galaxy 1, star 210
1.0000e31  -2.8402e21  1.7235e18  -2.7573e6  3.0750e5  # galaxy 1, star 211
1.0000e31  -2.8401e21  1.8144e18  -2.6508e6  4.6740e5  # galaxy 1, star 212
1.0000e31  -2.8399e21  1.9021e18  -2.5378e6  6.1567e5  # galaxy 1, star 213
1.0000e31  -2.8398e21  1.9856e18  -2.4193e6  7.5228e5  # galaxy 1, star 214
1.0000e31  -2.8396e21  2.0637e18  -2.2962e6  8.7725e5  # galaxy 1, star 215
1.0000e31  -2.8394e21  2.1349e18  -2.1693e6  9.9068e5  # galaxy 1, star 216
1.0000e31  -2.8392e21  2.1978e18  -2.0394e6  1.0927e6  # galaxy 1, star 217
1.0000e31  -2.8390e21  2.2509e18  -1.9074e6  1.1835e6  # galaxy 1, star 218
1.0000e31  -2.8388e21  2.2924e18  -1.7740e6  1.2633e6  # galaxy 1, star 219
1.0000e31  -2.8385e21  2.3205e18  -1.6399e6  1.3323e6  # galaxy 1, star 220
1.0000e31  -2.8382e21  2.3333e18  -1.5059e6  1.3909e6  # galaxy 1, star 221
1.0000e31  -2.8380e21  2.3287e18  -1.3725e6  1.4394e6  # galaxy 1, star 222
1.0000e31  -2.8377e21  2.3044e18  -1.2403e6  1.4781e6  # galaxy 1, star 223
1.0000e31  -2.8373e21  2.2582e18  -1.1100e6  1.5075e6  # galaxy 1, star 224
1.0000e31  -2.8370e21  2.1876e18  -9.8194e5  1.5279e6  # galaxy 1, star 225
1.0000e31  -2.8366e21  2.0900e18  -8.5674e5  1.5398e6  # galaxy 1, star 226
1.0000e31  -2.8363e21  1.9629e18  -7.3478e5  1.5436e6  # galaxy 1, star 227
1.0000e31  -2.8359e21  1.8033e18  -6.1645e5  1.5398e6  # galaxy 1, star 228
1.0000e31  -2.8355e21  1.6084e18  -5.0213e5  1.5289e6  # galaxy 1, star 229
1.0000e31  -2.8351e21  1.3753e18  -3.9210e5  1.5112e6  # galaxy 1, star 230
1.0000e31  -2.8347e21  1.1010e18  -2.8666e5  1.4873e6  # galaxy 1, star 231
1.0000e31  -2.8343e21  7.8244e17  -1.8603e5  1.4577e6  # galaxy 1, star 232
1.0000e31  -2.8338e21  4.1647e17  -9.0427e4  1.4229e6  # galaxy 1, star 233
1.0000e31  -2.8334e21  0.0000e0  0.0000e0  1.3833e6  # galaxy 1, star 234
